code,region,city,district,fullname,region_code,city_code,district_code
1117068000,서울특별시,용산구,한남제2동,서울특별시 용산구 한남제2동,11,11170,1117068000
1117068500,서울특별시,용산구,한남동,서울특별시 용산구 한남동,11,11170,1117068500
1117069000,서울특별시,용산구,서빙고동,서울특별시 용산구 서빙고동,11,11170,1117069000
1117070000,서울특별시,용산구,보광동,서울특별시 용산구 보광동,11,11170,1117070000
1120000000,서울특별시,성동구,NA,서울특별시 성동구,11,11200,1120000000
1120050100,서울특별시,성동구,옥수동,서울특별시 성동구 옥수동,11,11200,1120050100
1120051000,서울특별시,성동구,왕십리제1동,서울특별시 성동구 왕십리제1동,11,11200,1120051000
1120052000,서울특별시,성동구,왕십리제2동,서울특별시 성동구 왕십리제2동,11,11200,1120052000
1120053000,서울특별시,성동구,도선동,서울특별시 성동구 도선동,11,11200,1120053000
1120053500,서울특별시,성동구,왕십리도선동,서울특별시 성동구 왕십리도선동,11,11200,1120053500
1120054000,서울특별시,성동구,마장동,서울특별시 성동구 마장동,11,11200,1120054000
1120055000,서울특별시,성동구,사근동,서울특별시 성동구 사근동,11,11200,1120055000
1120056000,서울특별시,성동구,행당제1동,서울특별시 성동구 행당제1동,11,11200,1120056000
1120057000,서울특별시,성동구,행당제2동,서울특별시 성동구 행당제2동,11,11200,1120057000
1120058000,서울특별시,성동구,응봉동,서울특별시 성동구 응봉동,11,11200,1120058000
1120059000,서울특별시,성동구,금호1가동,서울특별시 성동구 금호1가동,11,11200,1120059000
1120060000,서울특별시,성동구,금호2가동,서울특별시 성동구 금호2가동,11,11200,1120060000
1120061000,서울특별시,성동구,금호3가동,서울특별시 성동구 금호3가동,11,11200,1120061000
1120061500,서울특별시,성동구,금호2.3가동,서울특별시 성동구 금호2.3가동,11,11200,1120061500
1120062000,서울특별시,성동구,금호4가동,서울특별시 성동구 금호4가동,11,11200,1120062000
1120063000,서울특별시,성동구,옥수제1동,서울특별시 성동구 옥수제1동,11,11200,1120063000
1120064000,서울특별시,성동구,옥수제2동,서울특별시 성동구 옥수제2동,11,11200,1120064000
1120064500,서울특별시,성동구,옥수동,서울특별시 성동구 옥수동,11,11200,1120064500
1120065000,서울특별시,성동구,성수1가제1동,서울특별시 성동구 성수1가제1동,11,11200,1120065000
1120066000,서울특별시,성동구,성수1가제2동,서울특별시 성동구 성수1가제2동,11,11200,1120066000
1120067000,서울특별시,성동구,성수2가제1동,서울특별시 성동구 성수2가제1동,11,11200,1120067000
1120068000,서울특별시,성동구,성수2가제2동,서울특별시 성동구 성수2가제2동,11,11200,1120068000
1120069000,서울특별시,성동구,성수2가제3동,서울특별시 성동구 성수2가제3동,11,11200,1120069000
1120070000,서울특별시,성동구,성수2가제4동,서울특별시 성동구 성수2가제4동,11,11200,1120070000
1120071000,서울특별시,성동구,화양동,서울특별시 성동구 화양동,11,11200,1120071000
1120072000,서울특별시,성동구,송정동,서울특별시 성동구 송정동,11,11200,1120072000
1120073000,서울특별시,성동구,군자동,서울특별시 성동구 군자동,11,11200,1120073000
1120074000,서울특별시,성동구,중곡제1동,서울특별시 성동구 중곡제1동,11,11200,1120074000
1120075000,서울특별시,성동구,중곡제2동,서울특별시 성동구 중곡제2동,11,11200,1120075000
1120076000,서울특별시,성동구,중곡제3동,서울특별시 성동구 중곡제3동,11,11200,1120076000
1120077000,서울특별시,성동구,중곡제4동,서울특별시 성동구 중곡제4동,11,11200,1120077000
1120078000,서울특별시,성동구,능동,서울특별시 성동구 능동,11,11200,1120078000
1120079000,서울특별시,성동구,용답동,서울특별시 성동구 용답동,11,11200,1120079000
1120080000,서울특별시,성동구,구의동,서울특별시 성동구 구의동,11,11200,1120080000
1120081000,서울특별시,성동구,광장동,서울특별시 성동구 광장동,11,11200,1120081000
1120082000,서울특별시,성동구,자양제1동,서울특별시 성동구 자양제1동,11,11200,1120082000
1120083000,서울특별시,성동구,자양제2동,서울특별시 성동구 자양제2동,11,11200,1120083000
1120084000,서울특별시,성동구,자양제3동,서울특별시 성동구 자양제3동,11,11200,1120084000
1120085000,서울특별시,성동구,구의제1동,서울특별시 성동구 구의제1동,11,11200,1120085000
1120086000,서울특별시,성동구,구의제2동,서울특별시 성동구 구의제2동,11,11200,1120086000
1120087000,서울특별시,성동구,구의제3동,서울특별시 성동구 구의제3동,11,11200,1120087000
1121500000,서울특별시,광진구,NA,서울특별시 광진구,11,11215,1121500000
1121571000,서울특별시,광진구,화양동,서울특별시 광진구 화양동,11,11215,1121571000
1121573000,서울특별시,광진구,군자동,서울특별시 광진구 군자동,11,11215,1121573000
1121574000,서울특별시,광진구,중곡제1동,서울특별시 광진구 중곡제1동,11,11215,1121574000
1121575000,서울특별시,광진구,중곡제2동,서울특별시 광진구 중곡제2동,11,11215,1121575000
1121576000,서울특별시,광진구,중곡제3동,서울특별시 광진구 중곡제3동,11,11215,1121576000
1121577000,서울특별시,광진구,중곡제4동,서울특별시 광진구 중곡제4동,11,11215,1121577000
1121578000,서울특별시,광진구,능동,서울특별시 광진구 능동,11,11215,1121578000
1121581000,서울특별시,광진구,광장동,서울특별시 광진구 광장동,11,11215,1121581000
1121582000,서울특별시,광진구,자양제1동,서울특별시 광진구 자양제1동,11,11215,1121582000
1121583000,서울특별시,광진구,자양제2동,서울특별시 광진구 자양제2동,11,11215,1121583000
1121584000,서울특별시,광진구,자양제3동,서울특별시 광진구 자양제3동,11,11215,1121584000
1121584500,서울특별시,광진구,노유제1동,서울특별시 광진구 노유제1동,11,11215,1121584500
1121584600,서울특별시,광진구,노유제2동,서울특별시 광진구 노유제2동,11,11215,1121584600
1121584700,서울특별시,광진구,자양제4동,서울특별시 광진구 자양제4동,11,11215,1121584700
