연도,rate
2002,1.1170012199179329
2003,1.0746577610951644
2004,1.157680233518753
2005,1.3938741258741258
2006,1.5294600810426022
2007,2.131413069496529
2008,2.1769753214433845
2009,2.454143358917653
2010,2.373479152426521
2011,2.469761826363736
2012,2.7682233887115104
2013,3.1035448268362966
2014,3.6843356375857264
2015,3.7919238180345722
2016,3.2627538684719535
