year,rate
1990,0.212097634073946
1991,0.2262068142490602
1992,0.23969183359013868
1993,0.3334386951986598
1994,0.41566835230806676
1995,0.48389234376592927
1996,0.513291170512377
1997,0.4761456527124102
1998,0.507272631800042
1999,0.5139041850220264
2e3,0.7168300427999448
2001,0.8897458417961245
2002,1.1170012199179329
2003,1.0746577610951644
2004,1.157680233518753
2005,1.3938741258741258
2006,1.5294600810426022
