"읍면동별(1)",2009,2009,2009,2009,2009,2009,2009,2009,2009,2009,2009,2009,2009,2009,2009,2009,2009,2009,2009,2009,2009,2009,2009,2009,2009,2009,2009,2009,2009,2009,2009,2009,2009,2009,2009,2009,2009,2009,2009,2009,2009,2009,2009,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016
"읍면동별(1)",합계,합계,합계,합계,합계,농업임업및어업,농업임업및어업,광업,광업,제조업,제조업,전기가스증기및수도사업,전기가스증기및수도사업,하수.폐기물처리원료재생및환경복원업,하수.폐기물처리원료재생및환경복원업,건설업,건설업,도매및소매업,도매및소매업,운수업,운수업,숙박및음식점업,숙박및음식점업,출판영상방송통신및정보서비스업,출판영상방송통신및정보서비스업,금융및보험업,금융및보험업,부동산및임대업,부동산및임대업,전문과학및기술서비스업,전문과학및기술서비스업,사업시설관리및사업지원서비스업,사업시설관리및사업지원서비스업,공공행정국방및사회보장행정,공공행정국방및사회보장행정,교육서비스업,교육서비스업,보건업및사회복지서비스업,보건업및사회복지서비스업,예술스포츠및여가관련서비스업,예술스포츠및여가관련서비스업,협회및단체수리및기타개인서비스업,협회및단체수리및기타개인서비스업,합계,합계,합계,합계,합계,농업임업및어업,농업임업및어업,광업,광업,제조업,제조업,전기가스증기및수도사업,전기가스증기및수도사업,하수.폐기물처리원료재생및환경복원업,하수.폐기물처리원료재생및환경복원업,건설업,건설업,도매및소매업,도매및소매업,운수업,운수업,숙박및음식점업,숙박및음식점업,출판영상방송통신및정보서비스업,출판영상방송통신및정보서비스업,금융및보험업,금융및보험업,부동산및임대업,부동산및임대업,전문과학및기술서비스업,전문과학및기술서비스업,사업시설관리및사업지원서비스업,사업시설관리및사업지원서비스업,공공행정국방및사회보장행정,공공행정국방및사회보장행정,교육서비스업,교육서비스업,보건업및사회복지서비스업,보건업및사회복지서비스업,예술스포츠및여가관련서비스업,예술스포츠및여가관련서비스업,협회및단체수리및기타개인서비스업,협회및단체수리및기타개인서비스업,가구내고용활동및달리분류되지않은자가소비생산활동,가구내고용활동및달리분류되지않은자가소비생산활동,국제및외국기관,국제및외국기관,합계,합계,합계,합계,합계,농업임업및어업,농업임업및어업,광업,광업,제조업,제조업,전기가스증기및수도사업,전기가스증기및수도사업,하수.폐기물처리원료재생및환경복원업,하수.폐기물처리원료재생및환경복원업,건설업,건설업,도매및소매업,도매및소매업,운수업,운수업,숙박및음식점업,숙박및음식점업,출판영상방송통신및정보서비스업,출판영상방송통신및정보서비스업,금융및보험업,금융및보험업,부동산및임대업,부동산및임대업,전문과학및기술서비스업,전문과학및기술서비스업,사업시설관리및사업지원서비스업,사업시설관리및사업지원서비스업,공공행정국방및사회보장행정,공공행정국방및사회보장행정,교육서비스업,교육서비스업,보건업및사회복지서비스업,보건업및사회복지서비스업,예술스포츠및여가관련서비스업,예술스포츠및여가관련서비스업,협회및단체수리및기타개인서비스업,협회및단체수리및기타개인서비스업,가구내고용활동및달리분류되지않은자가소비생산활동,가구내고용활동및달리분류되지않은자가소비생산활동,국제및외국기관,국제및외국기관,합계,합계,합계,합계,합계,농업임업및어업,농업임업및어업,광업,광업,제조업,제조업,전기가스증기및수도사업,전기가스증기및수도사업,하수.폐기물처리원료재생및환경복원업,하수.폐기물처리원료재생및환경복원업,건설업,건설업,도매및소매업,도매및소매업,운수업,운수업,숙박및음식점업,숙박및음식점업,출판영상방송통신및정보서비스업,출판영상방송통신및정보서비스업,금융및보험업,금융및보험업,부동산및임대업,부동산및임대업,전문과학및기술서비스업,전문과학및기술서비스업,사업시설관리및사업지원서비스업,사업시설관리및사업지원서비스업,공공행정국방및사회보장행정,공공행정국방및사회보장행정,교육서비스업,교육서비스업,보건업및사회복지서비스업,보건업및사회복지서비스업,예술스포츠및여가관련서비스업,예술스포츠및여가관련서비스업,협회및단체수리및기타개인서비스업,협회및단체수리및기타개인서비스업,가구내고용활동및달리분류되지않은자가소비생산활동,가구내고용활동및달리분류되지않은자가소비생산활동,국제및외국기관,국제및외국기관,합계,합계,합계,합계,합계,농업임업및어업,농업임업및어업,광업,광업,제조업,제조업,전기가스증기및수도사업,전기가스증기및수도사업,하수.폐기물처리원료재생및환경복원업,하수.폐기물처리원료재생및환경복원업,건설업,건설업,도매및소매업,도매및소매업,운수업,운수업,숙박및음식점업,숙박및음식점업,출판영상방송통신및정보서비스업,출판영상방송통신및정보서비스업,금융및보험업,금융및보험업,부동산및임대업,부동산및임대업,전문과학및기술서비스업,전문과학및기술서비스업,사업시설관리및사업지원서비스업,사업시설관리및사업지원서비스업,공공행정국방및사회보장행정,공공행정국방및사회보장행정,교육서비스업,교육서비스업,보건업및사회복지서비스업,보건업및사회복지서비스업,예술스포츠및여가관련서비스업,예술스포츠및여가관련서비스업,협회및단체수리및기타개인서비스업,협회및단체수리및기타개인서비스업,가구내고용활동및달리분류되지않은자가소비생산활동,가구내고용활동및달리분류되지않은자가소비생산활동,국제및외국기관,국제및외국기관,합계,합계,합계,합계,합계,농업임업및어업,농업임업및어업,광업,광업,제조업,제조업,전기가스증기및수도사업,전기가스증기및수도사업,하수.폐기물처리원료재생및환경복원업,하수.폐기물처리원료재생및환경복원업,건설업,건설업,도매및소매업,도매및소매업,운수업,운수업,숙박및음식점업,숙박및음식점업,출판영상방송통신및정보서비스업,출판영상방송통신및정보서비스업,금융및보험업,금융및보험업,부동산및임대업,부동산및임대업,전문과학및기술서비스업,전문과학및기술서비스업,사업시설관리및사업지원서비스업,사업시설관리및사업지원서비스업,공공행정국방및사회보장행정,공공행정국방및사회보장행정,교육서비스업,교육서비스업,보건업및사회복지서비스업,보건업및사회복지서비스업,예술스포츠및여가관련서비스업,예술스포츠및여가관련서비스업,협회및단체수리및기타개인서비스업,협회및단체수리및기타개인서비스업,가구내고용활동및달리분류되지않은자가소비생산활동,가구내고용활동및달리분류되지않은자가소비생산활동,국제및외국기관,국제및외국기관,합계,합계,합계,합계,합계,농업임업및어업,농업임업및어업,광업,광업,제조업,제조업,전기가스증기및수도사업,전기가스증기및수도사업,하수.폐기물처리원료재생및환경복원업,하수.폐기물처리원료재생및환경복원업,건설업,건설업,도매및소매업,도매및소매업,운수업,운수업,숙박및음식점업,숙박및음식점업,출판영상방송통신및정보서비스업,출판영상방송통신및정보서비스업,금융및보험업,금융및보험업,부동산및임대업,부동산및임대업,전문과학및기술서비스업,전문과학및기술서비스업,사업시설관리및사업지원서비스업,사업시설관리및사업지원서비스업,공공행정국방및사회보장행정,공공행정국방및사회보장행정,교육서비스업,교육서비스업,보건업및사회복지서비스업,보건업및사회복지서비스업,예술스포츠및여가관련서비스업,예술스포츠및여가관련서비스업,협회및단체수리및기타개인서비스업,협회및단체수리및기타개인서비스업,가구내고용활동및달리분류되지않은자가소비생산활동,가구내고용활동및달리분류되지않은자가소비생산활동,국제및외국기관,국제및외국기관,합계,합계,합계,합계,합계,농업임업및어업,농업임업및어업,광업,광업,제조업,제조업,전기가스증기및수도사업,전기가스증기및수도사업,하수.폐기물처리원료재생및환경복원업,하수.폐기물처리원료재생및환경복원업,건설업,건설업,도매및소매업,도매및소매업,운수업,운수업,숙박및음식점업,숙박및음식점업,출판영상방송통신및정보서비스업,출판영상방송통신및정보서비스업,금융및보험업,금융및보험업,부동산및임대업,부동산및임대업,전문과학및기술서비스업,전문과학및기술서비스업,사업시설관리및사업지원서비스업,사업시설관리및사업지원서비스업,공공행정국방및사회보장행정,공공행정국방및사회보장행정,교육서비스업,교육서비스업,보건업및사회복지서비스업,보건업및사회복지서비스업,예술스포츠및여가관련서비스업,예술스포츠및여가관련서비스업,협회및단체수리및기타개인서비스업,협회및단체수리및기타개인서비스업,가구내고용활동및달리분류되지않은자가소비생산활동,가구내고용활동및달리분류되지않은자가소비생산활동,국제및외국기관,국제및외국기관
"읍면동별(1)",사업체수 (개소),여성대표자 사업체수 (개소),종사자수 (명),남자 (명),여자 (명),사업체수 (개소),종사자수 (명),사업체수 (개소),종사자수 (명),사업체수 (개소),종사자수 (명),사업체수 (개소),종사자수 (명),사업체수 (개소),종사자수 (명),사업체수 (개소),종사자수 (명),사업체수 (개소),종사자수 (명),사업체수 (개소),종사자수 (명),사업체수 (개소),종사자수 (명),사업체수 (개소),종사자수 (명),사업체수 (개소),종사자수 (명),사업체수 (개소),종사자수 (명),사업체수 (개소),종사자수 (명),사업체수 (개소),종사자수 (명),사업체수 (개소),종사자수 (명),사업체수 (개소),종사자수 (명),사업체수 (개소),종사자수 (명),사업체수 (개소),종사자수 (명),사업체수 (개소),종사자수 (명),사업체수 (개소),여성대표자 사업체수 (개소),종사자수 (명),남자 (명),여자 (명),사업체수 (개소),종사자수 (명),사업체수 (개소),종사자수 (명),사업체수 (개소),종사자수 (명),사업체수 (개소),종사자수 (명),사업체수 (개소),종사자수 (명),사업체수 (개소),종사자수 (명),사업체수 (개소),종사자수 (명),사업체수 (개소),종사자수 (명),사업체수 (개소),종사자수 (명),사업체수 (개소),종사자수 (명),사업체수 (개소),종사자수 (명),사업체수 (개소),종사자수 (명),사업체수 (개소),종사자수 (명),사업체수 (개소),종사자수 (명),사업체수 (개소),종사자수 (명),사업체수 (개소),종사자수 (명),사업체수 (개소),종사자수 (명),사업체수 (개소),종사자수 (명),사업체수 (개소),종사자수 (명),사업체수 (개소),종사자수 (명),사업체수 (개소),종사자수 (명),사업체수 (개소),여성대표자 사업체수 (개소),종사자수 (명),남자 (명),여자 (명),사업체수 (개소),종사자수 (명),사업체수 (개소),종사자수 (명),사업체수 (개소),종사자수 (명),사업체수 (개소),종사자수 (명),사업체수 (개소),종사자수 (명),사업체수 (개소),종사자수 (명),사업체수 (개소),종사자수 (명),사업체수 (개소),종사자수 (명),사업체수 (개소),종사자수 (명),사업체수 (개소),종사자수 (명),사업체수 (개소),종사자수 (명),사업체수 (개소),종사자수 (명),사업체수 (개소),종사자수 (명),사업체수 (개소),종사자수 (명),사업체수 (개소),종사자수 (명),사업체수 (개소),종사자수 (명),사업체수 (개소),종사자수 (명),사업체수 (개소),종사자수 (명),사업체수 (개소),종사자수 (명),사업체수 (개소),종사자수 (명),사업체수 (개소),종사자수 (명),사업체수 (개소),여성대표자 사업체수 (개소),종사자수 (명),남자 (명),여자 (명),사업체수 (개소),종사자수 (명),사업체수 (개소),종사자수 (명),사업체수 (개소),종사자수 (명),사업체수 (개소),종사자수 (명),사업체수 (개소),종사자수 (명),사업체수 (개소),종사자수 (명),사업체수 (개소),종사자수 (명),사업체수 (개소),종사자수 (명),사업체수 (개소),종사자수 (명),사업체수 (개소),종사자수 (명),사업체수 (개소),종사자수 (명),사업체수 (개소),종사자수 (명),사업체수 (개소),종사자수 (명),사업체수 (개소),종사자수 (명),사업체수 (개소),종사자수 (명),사업체수 (개소),종사자수 (명),사업체수 (개소),종사자수 (명),사업체수 (개소),종사자수 (명),사업체수 (개소),종사자수 (명),사업체수 (개소),종사자수 (명),사업체수 (개소),종사자수 (명),사업체수 (개소),여성대표자 사업체수 (개소),종사자수 (명),남자 (명),여자 (명),사업체수 (개소),종사자수 (명),사업체수 (개소),종사자수 (명),사업체수 (개소),종사자수 (명),사업체수 (개소),종사자수 (명),사업체수 (개소),종사자수 (명),사업체수 (개소),종사자수 (명),사업체수 (개소),종사자수 (명),사업체수 (개소),종사자수 (명),사업체수 (개소),종사자수 (명),사업체수 (개소),종사자수 (명),사업체수 (개소),종사자수 (명),사업체수 (개소),종사자수 (명),사업체수 (개소),종사자수 (명),사업체수 (개소),종사자수 (명),사업체수 (개소),종사자수 (명),사업체수 (개소),종사자수 (명),사업체수 (개소),종사자수 (명),사업체수 (개소),종사자수 (명),사업체수 (개소),종사자수 (명),사업체수 (개소),종사자수 (명),사업체수 (개소),종사자수 (명),사업체수 (개소),여성대표자 사업체수 (개소),종사자수 (명),남자 (명),여자 (명),사업체수 (개소),종사자수 (명),사업체수 (개소),종사자수 (명),사업체수 (개소),종사자수 (명),사업체수 (개소),종사자수 (명),사업체수 (개소),종사자수 (명),사업체수 (개소),종사자수 (명),사업체수 (개소),종사자수 (명),사업체수 (개소),종사자수 (명),사업체수 (개소),종사자수 (명),사업체수 (개소),종사자수 (명),사업체수 (개소),종사자수 (명),사업체수 (개소),종사자수 (명),사업체수 (개소),종사자수 (명),사업체수 (개소),종사자수 (명),사업체수 (개소),종사자수 (명),사업체수 (개소),종사자수 (명),사업체수 (개소),종사자수 (명),사업체수 (개소),종사자수 (명),사업체수 (개소),종사자수 (명),사업체수 (개소),종사자수 (명),사업체수 (개소),종사자수 (명),사업체수 (개소),여성대표자 사업체수 (개소),종사자수 (명),남자 (명),여자 (명),사업체수 (개소),종사자수 (명),사업체수 (개소),종사자수 (명),사업체수 (개소),종사자수 (명),사업체수 (개소),종사자수 (명),사업체수 (개소),종사자수 (명),사업체수 (개소),종사자수 (명),사업체수 (개소),종사자수 (명),사업체수 (개소),종사자수 (명),사업체수 (개소),종사자수 (명),사업체수 (개소),종사자수 (명),사업체수 (개소),종사자수 (명),사업체수 (개소),종사자수 (명),사업체수 (개소),종사자수 (명),사업체수 (개소),종사자수 (명),사업체수 (개소),종사자수 (명),사업체수 (개소),종사자수 (명),사업체수 (개소),종사자수 (명),사업체수 (개소),종사자수 (명),사업체수 (개소),종사자수 (명),사업체수 (개소),종사자수 (명),사업체수 (개소),종사자수 (명),사업체수 (개소),여성대표자 사업체수 (개소),종사자수 (명),남자 (명),여자 (명),사업체수 (개소),종사자수 (명),사업체수 (개소),종사자수 (명),사업체수 (개소),종사자수 (명),사업체수 (개소),종사자수 (명),사업체수 (개소),종사자수 (명),사업체수 (개소),종사자수 (명),사업체수 (개소),종사자수 (명),사업체수 (개소),종사자수 (명),사업체수 (개소),종사자수 (명),사업체수 (개소),종사자수 (명),사업체수 (개소),종사자수 (명),사업체수 (개소),종사자수 (명),사업체수 (개소),종사자수 (명),사업체수 (개소),종사자수 (명),사업체수 (개소),종사자수 (명),사업체수 (개소),종사자수 (명),사업체수 (개소),종사자수 (명),사업체수 (개소),종사자수 (명),사업체수 (개소),종사자수 (명),사업체수 (개소),종사자수 (명),사업체수 (개소),종사자수 (명)
"합계",12474,5776,106253,76832,29421,6,26,1,7,726,55050,7,138,17,347,365,7558,2821,7406,772,2573,3947,9953,55,511,146,2307,367,1228,174,2597,95,1181,62,2121,812,5570,332,3521,430,1011,1339,3148,12834,6018,108420,76355,32065,4,21,2,8,718,55473,3,118,17,282,361,7482,2948,7825,754,2676,4076,10005,52,479,150,2134,385,1286,211,3353,92,1787,67,1977,811,5816,367,3699,446,1014,1370,2985,-,-,-,-,13387,6286,111747,78886,32861,6,60,2,5,705,55544,3,126,17,420,397,7323,2990,7946,777,2925,4275,10670,64,492,154,2065,453,1599,257,4271,118,2259,66,2472,832,5623,402,3963,455,1014,1414,2970,-,-,-,-,13812,6550,116935,83889,33046,6,57,2,10,710,56951,5,138,20,432,414,9839,3115,7797,807,2513,4379,10751,60,447,151,2035,469,1592,265,5058,134,2296,66,2627,823,5757,449,4297,443,1007,1494,3331,-,-,-,-,14161,6696,123552,88730,34822,4,61,2,14,731,57588,5,139,22,415,457,11763,3153,7943,850,2930,4511,11996,57,460,159,1972,475,1581,293,6450,158,2933,66,2554,813,5752,471,4666,447,1133,1487,3205,-,-,-,-,14962,7013,135206,97327,37879,4,19,2,22,797,61771,6,181,24,453,530,14604,3303,8538,882,2911,4683,12730,60,544,155,2185,540,1780,339,7088,201,3751,69,2743,857,5937,524,5334,459,1236,1527,3379,-,-,-,-,15328,7247,135715,96872,38843,2,17,1,22,806,59735,6,155,27,503,507,15331,3417,8843,850,2771,4859,12834,56,544,154,2289,568,1830,382,7467,202,4030,66,2611,838,6555,544,5732,454,1240,1589,3206,-,-,-,-,15649,7511,130703,91213,39490,4,20,1,30,824,54454,6,151,28,469,511,16048,3405,8756,876,2959,5062,13254,52,424,156,2267,590,1999,331,6518,194,3715,66,2737,845,6268,558,5814,507,1497,1633,3323,-,-,-,-
