year,계,남,여
가나,1,1,NA
가봉,3,1,2
그리스,54,42,12
나이지리아,73,34,39
남아프리카공화국,75,56,19
네덜란드,74,50,24
네팔,959,931,28
노르웨이,1013,832,181
뉴질랜드,47,35,12
덴마크,124,99,25
도미니카공화국,2,1,1
독일,56,46,10
라오스,4,NA,4
러시아,97,46,51
레바논,3,2,1
루마니아,31,17,14
리투아니아,4,4,NA
마케도니아,1,1,NA
말레이시아,452,352,100
멕시코,6,2,4
모로코,5,2,3
모리셔스,1,NA,1
몬테네그로,2,2,NA
몽골,56,39,17
미국,395,325,70
미얀마,504,495,9
방글라데시,11,10,1
베네수엘라,17,11,6
베트남,1234,696,538
벨기에,13,8,5
벨로루시,2,1,1
볼리비아,2,1,1
불가리아,11,6,5
브라질,28,18,10
브루나이,8,5,3
세르비아,6,5,1
소계,15051,11092,3959
스리랑카,695,690,5
스웨덴,49,37,12
스위스,3,1,2
스페인,14,6,8
슬로베니아,1,1,NA
시리아,1,1,NA
싱가포르,141,99,42
아랍에미리트연합,3,3,NA
아르헨티나,8,5,3
아이슬란드,9,8,1
아일랜드,36,26,10
아제르바이잔,12,2,10
아프가니스탄,1,1,NA
알제리,9,4,5
앙골라,1,NA,1
엘살바도르,1,NA,1
영국,688,575,113
예멘공화국,4,3,1
오만,2,2,NA
오스트레일리아,727,505,222
오스트리아,6,6,NA
요르단,1,1,NA
우즈베키스탄,1324,1256,68
우크라이나,49,28,21
이라크,1,1,NA
이란,23,12,11
이집트,1,1,NA
이탈리아,47,38,9
인도,922,561,361
인도네시아,662,609,53
일본,111,39,72
중국,604,269,335
짐바브웨,2,2,NA
체코,4,4,NA
칠레,1,NA,1
카메룬,1,1,NA
카자흐스탄,19,12,7
캄보디아,183,133,50
캐나다,82,62,20
케냐,1,NA,1
코트디부아르,4,2,2
콜롬비아,7,4,3
콩고,2,2,NA
쿠바,1,NA,1
크로아티아,20,15,5
키르기스스탄,20,14,6
키프로스,1,1,NA
타이,423,360,63
타이완,23,14,9
탄자니아,1,NA,1
터키,12,10,2
튀니지,9,3,6
티모르민주공화국,60,60,NA
파나마,1,NA,1
파키스탄,24,22,2
포르투갈,23,16,7
폴란드,42,26,16
프랑스,811,538,273
핀란드,8,4,4
필리핀,751,244,507
한국계중국인,983,576,407
헝가리,2,1,1
